Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2010-03-05	England in Bangladesh ODI Series--1755	male	England	45.0		50	Bangladesh	England	Bangladesh	field	Zohur Ahmed Chowdhury Stadium	1755.0
2010-09-10	NatWest Series--1756	male	England	24.0		50	England	Pakistan	Pakistan	field	Riverside Ground	1756.0
2010-09-12	NatWest Series--1757	male	England		4.0	50	England	Pakistan	Pakistan	bat	Headingley	1757.0
2010-09-17	NatWest Series--1758	male	Pakistan	23.0		50	England	Pakistan	Pakistan	bat	Kennington Oval	1758.0
2010-09-20	NatWest Series--1759	male	Pakistan	38.0		50	England	Pakistan	Pakistan	bat	Lord's	1759.0
2010-09-22	NatWest Series--1760	male	England	121.0		50	England	Pakistan	England	bat	The Rose Bowl	1760.0
2009-11-03	Pakistan v New Zealand ODI Series--1761	male	Pakistan	138.0		50	New Zealand	Pakistan	Pakistan	bat	Sheikh Zayed Stadium	1761.0
2009-11-06	Pakistan v New Zealand ODI Series--1762	male	New Zealand	64.0		50	New Zealand	Pakistan	New Zealand	bat	Sheikh Zayed Stadium	1762.0
2009-11-09	Pakistan v New Zealand ODI Series--1763	male	New Zealand	7.0		50	New Zealand	Pakistan	New Zealand	bat	Sheikh Zayed Stadium	1763.0
2009-11-08	Zimbabwe in South Africa ODI Series--1764	male	South Africa	45.0		50	South Africa	Zimbabwe	Zimbabwe	field	Willowmoore Park	1764.0
2009-11-10	Zimbabwe in South Africa ODI Series--1765	male	South Africa	212.0		50	South Africa	Zimbabwe	Zimbabwe	field	SuperSport Park	1765.0
2009-12-15	Sri Lanka in India ODI Series--1766	male	India	3.0		50	India	Sri Lanka	Sri Lanka	field	Madhavrao Scindia Cricket Ground	1766.0
2009-12-18	Sri Lanka in India ODI Series--1767	male	Sri Lanka		3.0	50	India	Sri Lanka	India	bat	Vidarbha Cricket Association Stadium, Jamtha	1767.0
2009-12-21	Sri Lanka in India ODI Series--1768	male	India		7.0	50	India	Sri Lanka	Sri Lanka	bat	Barabati Stadium	1768.0
2009-12-24	Sri Lanka in India ODI Series--1769	male	India		7.0	50	India	Sri Lanka	Sri Lanka	bat	Eden Gardens	1769.0
2009-12-27	Sri Lanka in India ODI Series--1770	male	no result			50	India	Sri Lanka	India	field	Feroz Shah Kotla	1770.0
2011-02-19	ICC Cricket World Cup--1771	male	India	87.0		50	Bangladesh	India	Bangladesh	field	Shere Bangla National Stadium	1771.0
2011-02-20	ICC Cricket World Cup--1772	male	New Zealand		10.0	50	Kenya	New Zealand	Kenya	bat	MA Chidambaram Stadium, Chepauk	1772.0
